"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-09-04 21:39:01","26.9","47"
"2022-09-04 22:39:07","26.7","46"
"2022-09-04 23:39:12","26.5","40"
"2022-09-05 00:39:23","26.8","39"
"2022-09-05 01:39:27","27.2","38"
"2022-09-05 02:39:29","27.3","38"
"2022-09-05 03:39:29","27.4","38"
"2022-09-05 04:39:29","27.4","39"
"2022-09-05 05:39:29","27.5","40"
"2022-09-05 06:39:29","27.5","40"
"2022-09-05 07:39:29","27.5","40"
"2022-09-05 08:39:29","27.6","40"
"2022-09-05 09:39:29","27.7","41"
"2022-09-05 10:39:29","27.8","41"
"2022-09-05 11:39:33","28.0","42"
"2022-09-05 12:39:33","28.3","42"
"2022-09-05 13:39:33","28.4","40"
"2022-09-05 14:39:33","28.5","38"
"2022-09-05 15:39:33","28.3","38"
"2022-09-05 16:39:33","28.2","39"
"2022-09-05 17:39:36","28.2","41"
"2022-09-05 18:39:36","28.2","42"
"2022-09-05 19:39:39","27.5","45"
"2022-09-05 20:39:39","27.2","48"
"2022-09-05 21:39:39","27.8","52"
"2022-09-05 22:39:43","27.7","49"
"2022-09-05 23:39:44","27.5","49"
"2022-09-06 00:39:48","27.3","47"
"2022-09-06 01:39:55","27.2","44"
"2022-09-06 02:39:56","27.4","46"
"2022-09-06 03:39:56","27.5","45"
"2022-09-06 04:39:56","27.5","45"
"2022-09-06 05:39:56","27.6","46"
"2022-09-06 06:39:56","27.6","46"
"2022-09-06 07:39:56","27.7","46"
"2022-09-06 08:39:56","27.8","46"
"2022-09-06 09:39:56","28.1","46"
"2022-09-06 10:39:00","28.2","47"
"2022-09-06 11:39:00","28.2","47"
"2022-09-06 12:39:00","28.4","47"
"2022-09-06 13:39:00","28.5","47"
"2022-09-06 14:39:00","28.5","47"
"2022-09-06 15:39:00","28.5","48"
"2022-09-06 16:39:00","28.4","48"
"2022-09-06 17:39:01","28.3","48"
"2022-09-06 18:39:01","28.2","48"
"2022-09-06 19:39:01","28.2","49"
"2022-09-06 20:39:06","28.4","52"
"2022-09-06 21:39:06","27.5","45"
"2022-09-06 22:39:08","27.0","50"
